N, Time
3, 0.001459
6, 0.001854
9, 0.002663
12, 0.003037
15, 0.004285
18, 0.004878
21, 0.006689
24, 0.008035
27, 0.009615
30, 0.014035
33, 0.013823
36, 0.017178
39, 0.018795
42, 0.023330
45, 0.024617
48, 0.029605
51, 0.033451
54, 0.034580
57, 0.038101
60, 0.042324
63, 0.046537
66, 0.050343
69, 0.055399
72, 0.059877
75, 0.064694
78, 0.069844
81, 0.078404
84, 0.081131
87, 0.086437
90, 0.091763
93, 0.101623
96, 0.104788
99, 0.115650
102, 0.117614
105, 0.128580
108, 0.132241
111, 0.138548
114, 0.151631
117, 0.154356
120, 0.161744
123, 0.169234
126, 0.178238
129, 0.188970
132, 0.197809
135, 0.209855
138, 0.213409
141, 0.229235
144, 0.234845
147, 0.246391
150, 0.252797
153, 0.263559
156, 0.274248
159, 0.286387
162, 0.308169
165, 0.304935
168, 0.316528
171, 0.329925
174, 0.340155
177, 0.353989
180, 0.364308
183, 0.375868
186, 0.389601
189, 0.413150
192, 0.415566
195, 0.427619
198, 0.442204
201, 0.458453
204, 0.468838
207, 0.480817
210, 0.495481
213, 0.533592
216, 0.548764
219, 0.555511
222, 0.552514
225, 0.567553
228, 0.582514
231, 0.597999
234, 0.632612
237, 0.638829
240, 0.643932
243, 0.661046
246, 0.699593
249, 0.710674
252, 0.714569
255, 0.738026
258, 0.752966
261, 0.799231
264, 0.780952
267, 0.799741
270, 0.816084
273, 0.835013
276, 0.854042
279, 0.897900
282, 0.892193
285, 0.961263
