N, time
4, 3.408000
8, 5.723000
12, 6.636000
16, 7.887000
20, 9.715000
24, 11.794000
28, 8.556000
32, 9.608000
36, 11.690000
40, 13.873000
44, 16.034000
48, 18.315000
52, 20.691000
56, 24.343000
60, 27.633000
64, 29.571000
68, 33.718000
72, 36.817000
76, 42.140000
80, 45.526000
84, 50.377000
88, 55.163000
92, 60.668000
96, 65.783000
100, 71.258000
104, 76.639000
108, 82.424000
112, 88.762000
116, 94.056000
120, 100.423000
124, 105.858000
128, 111.739000
132, 120.157000
136, 129.249000
140, 136.000000
144, 140.867000
148, 147.925000
152, 155.106000
156, 166.685000
160, 173.010000
164, 185.258000
168, 198.544000
172, 205.735000
176, 211.974000
180, 217.029000
184, 225.532000
188, 240.115000
192, 248.663000
196, 256.114000
200, 268.663000
204, 279.672000
208, 287.935000
212, 305.498000
216, 310.864000
220, 328.169000
224, 333.740000
228, 348.296000
232, 355.505000
236, 377.700000
240, 397.188000
244, 397.579000
248, 407.640000
252, 435.216000
256, 466.775000
260, 456.302000
264, 460.594000
268, 476.773000
272, 491.413000
276, 511.919000
280, 528.412000
284, 537.347000
288, 554.805000
292, 563.316000
296, 605.883000
300, 608.225000
304, 614.767000
308, 625.042000
312, 635.339000
316, 663.710000
320, 658.691000
324, 702.467000
328, 723.747000
332, 768.151000
336, 752.569000
340, 755.333000
344, 799.839000
348, 796.975000
352, 825.658000
356, 834.363000
360, 856.030000
364, 875.915000
368, 866.501000
372, 940.718000
376, 907.684000
380, 963.892000
384, 984.759000
388, 1002.662000
392, 1047.814000
396, 1043.935000
400, 1067.494000
404, 1080.575000
408, 1109.894000
412, 1184.309000
416, 1151.621000
420, 1179.321000
424, 1197.919000
428, 1214.435000
432, 1213.775000
436, 1236.879000
440, 1242.130000
444, 1280.090000
448, 1323.457000
452, 1330.906000
456, 1353.518000
460, 1417.203000
464, 1423.323000
468, 1439.452000
472, 1479.558000
476, 1471.078000
480, 1503.993000
484, 1540.833000
488, 1550.698000
492, 1580.768000
496, 1604.197000
500, 1720.830000
504, 1689.599000
508, 1697.989000
512, 1731.012000
516, 1776.696000
520, 1799.095000
524, 1818.661000
528, 1819.094000
532, 1940.087000
536, 1894.665000
540, 1916.178000
544, 1931.056000
548, 1968.469000
552, 2035.495000
556, 2085.773000
560, 2067.372000
564, 2107.810000
568, 2090.936000
572, 2175.486000
576, 2162.128000
580, 2182.812000
584, 2257.753000
588, 2292.126000
592, 2272.979000
596, 2304.859000
600, 2411.686000
604, 2370.515000
608, 2451.937000
612, 2494.302000
616, 2547.334000
620, 2576.506000
624, 2569.091000
628, 2552.211000
632, 2602.360000
636, 2622.048000
640, 2654.824000
644, 2685.226000
648, 2803.323000
652, 2785.545000
656, 2778.706000
660, 2827.648000
664, 2881.276000
668, 2891.740000
672, 2930.598000
676, 2981.498000
680, 3006.068000
684, 3027.297000
688, 3080.460000
692, 3084.731000
696, 3165.360000
700, 3188.130000
704, 3247.919000
708, 3227.136000
712, 3378.017000
716, 3354.948000
720, 3391.851000
724, 3400.662000
728, 3469.960000
732, 3581.777000
736, 3546.848000
740, 3544.863000
744, 3615.724000
748, 3596.756000
752, 3647.366000
756, 3721.333000
760, 3762.445000
764, 3753.284000
768, 3811.591000
772, 3870.814000
776, 3968.709000
780, 3927.461000
784, 3990.198000
788, 4126.403000
792, 4061.662000
796, 4087.535000
800, 4175.009000
804, 4185.317000
808, 4258.481000
812, 4234.587000
816, 4338.068000
820, 4305.733000
824, 4450.969000
828, 4427.035000
832, 4484.171000
836, 4488.786000
840, 4590.092000
844, 4612.532000
848, 4622.709000
852, 4711.363000
856, 4797.478000
860, 4763.580000
864, 4805.337000
868, 4923.166000
872, 4985.407000
876, 4918.146000
880, 5008.135000
884, 5085.569000
888, 5165.899000
892, 5140.793000
896, 5244.980000
900, 5234.744000
904, 5411.077000
908, 5312.408000
912, 5355.306000
916, 5545.322000
920, 5540.251000
924, 5517.531000
928, 5531.319000
932, 5602.804000
936, 5744.633000
940, 5894.594000
944, 5788.942000
948, 5932.767000
952, 5997.176000
956, 5961.977000
960, 5938.190000
964, 6121.854000
968, 6156.846000
972, 6123.945000
976, 6127.179000
980, 6161.415000
984, 6282.066000
988, 6276.662000
992, 6328.663000
996, 6424.794000
